tengu_auto_compact_succeeded	compactedMessageCount,compactionCacheCreationTokens,compactionCacheReadTokens,compactionInputTokens,compactionOutputTokens,compactionTotalTokens,originalMessageCount,postCompactTokenCount,preCompactTokenCount,queryChainId,queryDepth,routedThroughReactive,thresholdSource,truePostCompactTokenCount
tengu_auto_connect_ide_changed	enabled,source
tengu_auto_default_notice_shown	<no-static-fields>
tengu_auto_default_nudge_resolved	choice,current_mode,outcome,surface
tengu_auto_default_nudge_shown	current_mode,surface
tengu_auto_dream_completed	cache_created,cache_read,daily_logs_found,files_touched_count,output,sessions_reviewed,team_memory_enabled
tengu_auto_dream_failed	error_class,phase
tengu_auto_dream_fired	hours_since,sessions_since,team_memory_enabled
tengu_auto_dream_skipped	min_required,reason,session_count
tengu_auto_dream_toggled	enabled,is_first_enable
tengu_auto_install_ide_extension_changed	enabled,source
tengu_auto_mem_tool_denied	tool_name
tengu_auto_memory_toggled	enabled
tengu_auto_mode_beta_latch	classifierModel,classifierStage,errorKind
tengu_auto_mode_decision	agentMsgId,agentType,chromeAutomode,classifierCacheCreationInputTokens,classifierCacheReadInputTokens,classifierCategory,classifierCostUSD,classifierDurationMs,classifierFailureMode,classifierInputTokens,classifierModel,classifierOutputTokens,classifierQueueDepth,classifierQueueWaitMs,classifierStage,classifierStage1CacheCreationInputTokens,classifierStage1CacheReadInputTokens,classifierStage1CostUSD,classifierStage1DurationMs,classifierStage1InputTokens,classifierStage1MsgId,classifierStage1OutputTokens,classifierStage1RequestId,classifierStage1Severity,classifierStage2CacheCreationInputTokens,classifierStage2CacheReadInputTokens,classifierStage2CostUSD,classifierStage2DurationMs,classifierStage2InputTokens,classifierStage2MsgId,classifierStage2OutputTokens,classifierStage2RequestId,classifierStage2Severity,classifierSystemPromptLength,classifierToolCallsLength,classifierUserPromptsLength,confidence,consecutiveDenials,decision,editClassificationGated,error,fastPath,inProtectedNamespace,isHandoff,isMcp,mcpAlwaysAllowOverride,mcpServerAskOverride,originalDecisionReasonType,sameTurnSiblings,sessionCacheCreationInputTokens,sessionCacheReadInputTokens,sessionInputTokens,sessionOutputTokens,stripAllBashFlag,toolName,toolUseCount,totalDenials
